시군구,시설종류,시 설 명,시설장,시설설치일,시  설  소 재 지,입 소 현 황,남성입소인원,여성입소인원,부지(㎡),건물(㎡),남성종사자수,여성종사자수,전화번호,설치주체,운영주체
중구,노인요양시설,새출발축복의집 노인요양원,양희옥,2008.07.01,중구 사득로 22-1(부사동),29,4,21,513,786,4,14,256-3756,개인,
중구,노인요양시설,푸른노인요양원,박춘호,2008.09.03,중구 천근로 34(문화동),75,2,47,1130,1938,3,33,584-7501,개인,
중구,노인요양시설,은빛소규모노인종합센터,박상린,2009.02.20,중구 범골로 97(호동),16,4,9,487,442,2,7,283-1004,사회복지법인,나눔복지재단
중구,노인요양시설,대전보건대학교 노인요양원,최병호,2009.06.11,중구 대종로 468(대흥동),108,23,66,2389,2862,10,39,670-9701,학교법인,학교법인 청운학원
중구,노인요양시설,대전보건대학교 이안요양원,강희진,2010.03.01,중구 대종로 468(대흥동),29,2,25,2389,1100,3,19,670-9651,법인,대전보건대학교산학협력단
중구,노인요양시설,남대전요양원,임재록,2010.07.23,중구 대종로 185(석교동),63,11,29,890,1336,4,24,282-0070,개인,
중구,노인요양시설,대전성모케어센터,조원애,2012.01.20,중구 테미로 51-12(대흥동),46,10,31,707,1479,3,25,220-6902,법인,대전교구천주교회유지재단
중구,노인요양시설,범골요양원,김영석,"2012,09,28",중구 범골로99(호동),21,3,7,310,499,3,5,271-7171,사회복지법인,한사랑복지재단
중구,노인요양시설,세종노인요양원,송동욱,2014.08.01,중구 성산로14번길 16(안영동),49,14,36,690,1267,3,31,583-9988,개인,
중구,노인요양시설,축복마을,전정자,2013.03.01,중구 단재로 471(어남동),222,11,18,12061,5251,1,17,284-2113,사회복지법인,은혜복지재단
중구,노인요양시설,늘사랑요양원,이윤주,2013.04.24,중구 성산로 28 (안영동),49,10,36,764,1316,3,28,583-7282,개인,
중구,노인요양시설,평화가득함요양원,홍지인,2015.04.27,오류로 111(오류동 190-10 ),85,27,55,1989,1953,4,50,525-9101,법인,주식회사평화가득함
중구,노인요양시설,성베드로노인요양원,선승원,2015.05.20,충무로 163-1(문창동 55-11),80,9,29,1332,1896,2,24,255-0555,개인,
서구,노인요양시설,노인전문요양원 해피존,이경희,2004.03.12,서구 정각길 200-64(산직동),84,11,45,8219,2028,10,31,586-5185,사회복지법인,(사복)경일복지원
서구,노인요양시설,연광실버타운,김옥선,2004.02.24,서구 영골길 159(오동),80,5,18,10381,1.966.67,2,16,581-2248,사회복지법인,(사복)연광복지재단
서구,노인요양시설,대전은혜의 집,장명숙,2012.06.22,서구 장안안로 587(장안동) ,92,11,37,8819,2228.97,5,25,585-3386,사회복지법인,(사복)대전삼동회
서구,노인요양시설,원광수양원,최동매,2012.06.22,서구 장안안로 587(장안동) ,50,8,34,8819,1710.68,3,23,586-5022,사회복지법인,(사복)대전삼동회
서구,노인요양시설,빛너울 노인요양센터,김경석,2008.01.21,서구 갈마로3120(가장동),44,5,32,995.7,1036,1,28,534-7934,개인,
서구,노인요양시설,인제노인요양원,구선숙,2010.01.25,서구 계백로1264(정림동),29,6,22,449.8,516.04,0,19,585-2081,개인,
서구,노인요양시설,자혜은빛마을,윤부덕,2004.07.30,서구 장전길 51-27(오동) ,82,3,18,3761,2418.56,5,15,586-8883,사회복지법인,(사복)자혜원
서구,노인요양시설,믿음의집,서병오,2006.10.02,서구 장안로 406(장안동),28,7,20,2100,1050,4,11,586-1774,개인,
서구,노인요양시설,엠마오노인종합센터,남미현,2010.06.15,서구 금평6길 180(흑석동),19,5,13,428.5,454.02,0,11,583-6688,사회복지법인,(사복)창미복지재단
서구,노인요양시설,봄빛노인요양원,이인교,2009.06.08,서구 계백로1284(정림동),26,3,17,303.5,653.28,1,13,584-0851,개인,
서구,노인요양시설,유앤아이너싱홈,모선옥,2010.01.05,서구 복수동로100-19(복수동),29,2,21,408.4,792.25,0,17,581-6400,개인,                                                                                                                                                                                             
서구,노인요양시설,유앤아이너싱홈2,이선상,2016.3.9,서구 복수동로 104-7 (복수동),49,19,30,664,1354.89,5,25,581-6200,개인,
서구,노인요양시설,플래티늄서부 ,정수경,2010.09.15,서구 도산로51(도마동  6층),39,6,21,1581.4,929.73,1,17,716-2000,법인,㈜플래티늄
서구,노인요양시설,관저요양원,유지연,2011.01.18,서구 관저동로105번길 8(관저동),79,8,46,1879.7,1865.6,1,36,541-4155,개인,
서구,노인요양시설,인혜요양원,권성애,2011.11.25,서구 대덕대로317번길 9(월평동 4.5층),29,5,23,568.4,712.33,3,15,471-7474,의료복지법인,(의료)인혜의료재단
서구,노인요양시설,성애노인요양원,김선희,1997.11.27,서구 구봉산북로 86번길 126(관저동),68,15,48,7237,2017.63,5,39,545-9874,사회복지법인,(사복)성애원
서구,노인요양시설,열매노인요양원,김상규,2014.10.28,서구 유등로29(복수동),61,8,51,728.9,1466.82,3,32,587-8960,개인,
서구,노인요양시설,실버누리,한영근,2012.08.10,서구흑석2길47(흑석동),76,22,46,997.7,1895.22,3,37,583-2778,사회복지법인,(사복)수양원
서구,노인요양시설,대전요양원,김상수,2013.04.30,서구조달청길116(도마동),97,20,77,553.7,896.98,5,56,526-9441,개인,
서구,노인요양시설,부모사랑요양원,김애라,2013.11.13,서구 금평6길10(흑석동),28,6,8,489.9,878.64,3,11,581-0062,개인,
서구,노인요양시설,도마요양원,김경숙,2013.10.22,서구 용화4길25(도마동),37,5,24,1122.3,1099.2,1,15,523-3356,개인,
서구,노인요양시설,감로요양원,이여진,2014.07.09,서구 변동서로28번길 65(변동),27,3,20,382.2,657.53,1,18,525-3747,개인,
서구,노인요양시설,한솔요양원,전남희,2015.04.01,서구 정림서로201-6(정림동),29,5,22,1169,996.74,1,21,525-9898,개인,
서구,노인요양시설,어머님의집,김향경,2015.08.12,서구 중반2길 56(변동),19,1,18,631.7,435.01,1,12,514-8968,개인,
유성구,노인요양시설,(유성)에벤에셀요양원,유명자,2014.08.01,"유성구 지족로 374, 5층(지족동)",48,4,39,1853,1136,2,25,537-1001,개인,
유성구,노인요양시설,(유성)플래티늄요양원,박혜림,2016.07.08,"송성구 대학로 59, 1301",26,4,6,1171,650,1,6,384-2000,개인,
유성구,노인요양시설,고운마음요양원,정종훈,2016.04.18,"유성구 송림로 62, 6층(하기동)",20,6,14,1040,473,1,7,820-9964,의료법인,의료법인 고운손의료재단
유성구,노인요양시설,나이팅게일 실버홈 1호점,황장일,2009.12.17,"유성구 테크노5로 68(관평동, 5,6층)",47,11,35,475,1242,3,29,822-7622,개인,
유성구,노인요양시설,대전보훈요양원,천명주,2012.9.28,유성구 유성대로935번길 16(죽동),204,113,89,7370,7378,17,109,829-3010,국가보훈처,한국보훈복지의료공단
유성구,노인요양시설,선우치매센타,민정숙,1999.12.06,유성구 수통골로71번길 10(덕명동),194,49,137,5691,4606,15,88,822-1152,사회복지법인,(사복)선우복지재단
유성구,노인요양시설,송림실버테어센터,최정회,2016.9.30,계롱로105번길71(봉명동),99,8,25,1306,4488,5,31,824-0080,게인,
유성구,노인요양시설,에덴실버타운,정해철,2010.02.09,"유성구 테크노중앙로 155(용산동,5층)",25,0,2,1172,602,1,13,934-7878,개인,
유성구,노인요양시설,유성사랑마루,최성숙,2012.05.23,유성구 계룡로123번길10(봉명동),47,9,23,246,1116,2,24,826-3275,개인,
유성구,노인요양시설,은빛노인복지센터,임연숙,2010.03.01,유성구 노은서로142번길 14(지족동),17,0,2,408,414,1,11,823-9191,개인,
유성구,노인요양시설,플래티늄 유성,정영철,2014.06.02,"유성구 지족로 374, 6층(지족동)",45,4,34,1853,1062,2,31,712-2000,개인,
유성구,노인요양시설,행복한노인요양원,권혁근,2010.03.01,유성구 지족로 369(지족동),48,4,40,495,1180,1,23,822-8898,개인,
대덕구,노인요양시설,다비다의집,윤진순,1998.11.17,대덕구 대화1길 2 (대화동),141,15,93,3828,4300.63,9,50,349-5500,사회복지법인,천성원
대덕구,노인요양시설,노인요양시설웰스테이,백혜진,2015.06.12,대덕구 덕암북로 92(덕암동),71,11,47,704.4,1681.21,4,40,936-5072,개인,
대덕구,노인요양시설,필그림복지원,이순자,2008.07.16,대덕구 송촌남로45번길 80 (송촌동),49,5,28,849.51,645.2,1,20,624-0029,개인,
대덕구,노인요양시설,우리쉼터노인요양원,장세일,2009.05.29,대덕구 방두말5길 27 (상서동),29,3,14,664.07,775.75,1,12,932-0804,사회복지법인,우리쉼터
대덕구,노인요양시설,대덕노인요양원,김현정,2009.11.30,대덕구 덕암북로104번길 42 (덕암동),29,1,16,603.9,488.66,1,10,631-7576,개인,
대덕구,노인요양시설,성덕요양원,남현,2010.03.17,대덕구 비래서로10번길 72 (비래동),44,4,23,550.1,1079.88,1,12,638-1365,사회복지법인,성덕복지재단
대덕구,노인요양시설,한일노인사랑,윤유미,2010.11.11,대덕구 대화1길 6 (대화동),20,0,20,2095,973.5,1,11,349-9977,사회복지법인,천성원
대덕구,노인요양시설,동춘요양원,박미경,2011.05.11,"대덕구 계족산로81번길 74, 5층,6층 (송촌동, 세정빌딩)",55,10,46,855.5,1177.26,2,41,634-0124,개인,
대덕구,노인요양시설,해피엔젤요양센터,이혜옥,2011.12.22,"대덕구 계족산로81번길 70, 6층 (송촌동, 예성프라자)",49,10,40,855.3,620.6,1,32,716-0300,개인,
대덕구,노인요양시설,대전사랑마루,고미경,2015.08.04,"대덕구 동춘당로94번길 11-7, 8층 (송촌동, 광혜빌딩)",28,4,24,1030.1,657.53,1,18,623-3275,법인,㈜마이아이덴티티
대덕구,노인요양시설,예사랑 실버케어,김숙희,2012.03.28,대덕구 우암로 478 (비래동),73,12,61,2795,1080.9,0,46,621-1005,개인,
