시군구,시설종류,시 설 명,시설장,시설설치일,시  설  소 재 지,입소한남성수,입소한여성수,부지(㎡),건물(㎡),남성종사자수,여성종사자수,전화번호,설치주체,운영주체
중구,노인요양공동생활가정,늘기쁨실버홈,신은옥,2011.05.09,중구 동서대로 1235번길 33(태평동),0,6,244.6,142.08,1,4,527-1908,개인,
중구,노인요양공동생활가정,행복한요양원,김용철,2015.02.05,대전광역시 중구 대흥로 115(대흥동),1,7,506.4,203.659,2,5,070-7722-8833,개인,
서구,노인요양공동생활가정,효성의집(Ⅰ),황석희,2010.09.15,서구 신갈마로 167번길 8(갈마동),0,9,410,198,2,4,531-9749,개인,
서구,노인요양공동생활가정,효성의집(Ⅱ),권경량,2010.09.15,서구 신갈마로 173-7(갈마동),1,8,264,190,1,4,522-5958,개인,
서구,노인요양공동생활가정,열매노인요양센터,김영순,2008.10.02,서구 가수원 중로 65번길 56(가수원동),2,7,246.6,193.62,1,4,542-1440,사회복지법인,(사복)열매복지재단
서구,노인요양공동생활가정,섬김과나눔의집,박예순,2009.01.06,서구 배재로 46번길 30(도마동),0,6,501,131.5,0,4,528-1009,개인,
서구,노인요양공동생활가정,사랑가득한집,이종민,2011.06.01,서구 장전길 103(오동),3,6,544,209,1,3,586-6986,개인,
서구,노인요양공동생활가정,편안세상,이대윤,2010.11.15,서구 댓고개길 56(우명동),0,1,265,165.9,3,2,586-3552,개인,
서구,노인요양공동생활가정,정다운복지센터,윤란희,2010.11.24,서구 가장로 48(괴정동),1,5,225,146,1,4,533-9199,개인,
서구,노인요양공동생활가정,예사랑노인복지센터,김남중,2012.02.06,서구 도솔4길39(도마동),0,7,273,180.51,0,5,527-9911,개인,
서구,노인요양공동생활가정,싱글벙글복지센터,정정환,2013.7.10,"서구 용문로 73, 1층(용문동)",3,5,306.4,197.78,2,4,383-0069,개인,
서구,노인요양공동생활가정,장태산요양원,윤혜자,2014.8.21,서구 안터길7-32(산직동),1,8,415,238.35,1,5,585-1033,개인,
유성구,노인요양공동생활가정,노인요양공동생활가정 하늘사랑,정명순,2015.06.09,"유성구 학하남로99번길 14-18,2층(학하동)",0,9,464.2,210.39,2,4,623-5925,개인,
유성구,노인요양공동생활가정,노인요양공동생활가정 하늘사랑,박창희,2015.11.17,"유성구 학하남로99번길 14-18,3층(학하동)",0,3,464.2,210.39,2,1,623-5925,개인,
유성구,노인요양공동생활가정,노인요양시설금촌공동생활가정,김화성,2015.09.15,"유성구 유성대로 727, 2층(장대동)",0,5,1082.9,237.75,0,7,826-5554,개인,
유성구,노인요양공동생활가정,카네이션노인복지센터,김미숙,2014.08.01,"유성구 테크노4로 107, 4층 (관평동)",0,8,674,218.24,1,5,867-0688,개인,
유성구,노인요양공동생활가정,한울타리요양센터,강태영,2012.02.02,유성구 진잠로 59번길 33(원내동),1,8,547,193.8,1,7,533-4888,개인,
대덕구,노인요양공동생활가정,사랑한남노인요양공동생활가정,채은희,2008.09.10,대덕구 한밭대로1150 8층 (중리동),2,7,718.5,181.59,0,5,636-6565,개인,
대덕구,노인요양공동생활가정,믿음한남노인요양공동생활가정,이진우,2008.09.10,대덕구 한밭대로1150 7층 (중리동),0,7,718.5,156.01,1,5,636-6565,개인,
대덕구,노인요양공동생활가정,노인요양공동생활가정민들레,송규양,2015.06.09,대덕구 신탄진로218번길 26 (와동),0,7,497,210,1,4,621-1424,개인,
대덕구,노인요양공동생활가정,노인요양공동생활가정성락쉼터,김영식,2014.07.07,대덕구 홍도로 99번길 58(중리동),0,9,516,369.99,0,9,639-7925,개인,
대덕구,노인요양공동생활가정,해드림노인요양공동생활가정,이종선,2015.04.14,"대덕구 동춘당로 94번길 11-27,6층 601호",3,6,"1,030",243.27,0,8,349-3300,개인,
대덕구,노인요양공동생활가정,만민의 집,권태임,2009.11.04,대덕구 장동로233-13 (장동),0,9,688,193,1,5,633-3130,개인,
대덕구,노인요양공동생활가정,노인요양공동생활가정한밭,김혜리,2014.08.05,대덕구 오정로100번길 95 (오정동),0,9,1125,219,0,5,285-3001,개인,
