연번,구별,해당동,경로당 명칭,소재지,부지(㎡),건물(㎡),남성등록회원수,여성등록회원수,전화번호,비 고
276,중구,문화7동,극동(아)경로당,"중구 송리로6(문화동,극동아파트)",177.75,98.31,15,17,581-0046,
277,중구,문화8동,신촌경로당,중구 송리로 55 (문화동),"3,265",204.06,43,0,582-1055,
278,중구,문화9동,천근경로당,중구 천근로46번길 28 (문화동),131.9,192.85,15,30,582-1387,
279,중구,문화10동,문성경로당,중구 문화로94번길 9 (문화동),175.4,171.82,18,29,584-8597,
280,중구,산 성 동,송리경로당,중구 보문산로171번길 33 (문화동),197.7,96.3,12,45,586-3374,
281,중구,산 성 동,원대경로당,중구 보문산로122번안길 44 (산성동),"1,984",221.4,20,17,581-7416,
282,중구,산 성 동,당대경로당,중구 당디로 62-1 (산성동),136.8,118.78,50,56,584-5006,
283,중구,산 성 동,본동경로당,중구 대둔산로373번길 16 (산성동),192.1,184.8,16,31,581-0117,
284,중구,산 성 동,우성(아)경로당,"중구 당디로 45 (산성동,우성아파트)",147,147,7,32,584-6718,
285,중구,산 성 동,한밭가든(아)경로당,중구 보문산로 31 (산성동),166,166,18,55,581-4690,
286,중구,산 성 동,공원(아)경로당,중구 보문산로141번길 11 (산성동),152.37,152.37,13,16,586-8852,
287,중구,산 성 동,사정경로당,중구 산서로39(사정동),153.2,169.25,20,33,581-2856,
288,중구,산 성 동,상당경로당,중구 산서로 81-68 (사정동),373,339.57,12,19,585-3260,
289,중구,산 성 동,동원가든(아)경로당,중구 대둔산로326번길 20 (사정동),37.6,37.6,12,22,581-3622,
290,중구,산 성 동,우남스타원(아)경로당,중구 안영로 68 (사정동),86.7,86.7,11,22,581-9722,
291,중구,산 성 동,만수정경로당,중구 대둔산로346번길 55 (사정동),960,80.64,15,23,586-2709,
292,중구,산 성 동,안영경로당,중구 대둔산로159번길 50 (안영동),465,215.85,23,33,581-4466,
293,중구,산 성 동,현암경로당,중구 대둔산로 31번길 61(안영동),96,67.74,10,13,583-9152,
294,중구,산 성 동,창명경로당,중구 대둔산로184번길 17 (안영동),"2,099",233.91,23,22,581-8465,
295,중구,산 성 동,정생1경로당,중구 정생로 13 (정생동),338,142.19,24,17,285-2175,
296,중구,산 성 동,정생2경로당,중구 산서로 739 (정생동),165,102.4,8,18,285-3194,
297,중구,산 성 동,금동경로당,중구 금동길 51-10 (금동),433,85.68,14,28,285-3565,
298,중구,산 성 동,목달경로당,중구 남달미로 85 (목달동),364.4,312.48,21,19,285-5551,
299,중구,산 성 동,어남경로당,중구 단재로 365-15 (어남동),187,69.09,20,18,285-3999,
300,중구,산 성 동,침산경로당,중구 방아미로66번길 71 (침산동),330,140.01,16,24,285-3482,
301,중구,산 성 동,무수경로당,중구 운남로 90(무수동),165,82.8,13,23,285-3951,
302,중구,산 성 동,샛뜸마을(아)경로당,중구 대둔산로350번길 6 (사정동),58,58,10,20,586-2323,
303,중구,산 성 동,구완경로당,중구 운남로293번길81-8(구완동),330,92.49,13,13,285-9050,
304,서구,복수동,오량경로당,오량1길 63?(복수동),121,179.72,18,26,583-4123,
305,서구,복수동,계룡@경로당,복수서로 10?(복수동),22,21.78,19,29,581-7504,
306,서구,복수동,삼익목화@1단지경로당,복수서로 50?(복수동),162,115.3,27,27,584-0017,
307,서구,복수동,삼익목화@2단지경로당,복수북로 42?(복수동),61.4,61.4,12,23,583-6855,
308,서구,복수동,초록마을2단지경로당,복수동로 21-20?(복수동),129.78,129.78,8,27,361-2205,
309,서구,복수동,초록마을3단지경로당,복수동로 39-26?(복수동),97.38,97.38,10,17,585-2007,
310,서구,복수동,초록마을5단지경로당,유등로17번길 109?(복수동),142.83,142.83,14,37,584-5008,
311,서구,복수동,초록마을리슈빌@경로당,복수동로51번길 43?(복수동),102.96,102.96,11,14,383-8740,
312,서구,복수동,초록마을1단지경로당,복수동로 21-19?(복수동),134,133.79,16,20,320-2568,
313,서구,복수동,오량마을마루미아파트경로당,복수중로 30?(복수동),128,127.8,4,24,584-5538,
314,서구,복수동,벌말경로당,복수동로87번길13-11(복수동),187.4,111.5,8,23,587-5850,
315,서구,도마1동,도마1경로당,도마시장1길 88?(도마동),324.4,321.5,27,29,533-4906,
316,서구,도마1동,용화경로당,용화7길 68?(도마동),1652.9,151.18,6,29,532-7969,
317,서구,도마1동,효성타운경로당,도산로 11?(도마동),178.2,178.2,9,20,583-5442,
318,서구,도마1동,은해경로당,배재로186번길 23-6?(도마동),191.8,117.39,10,29,523-1105,
319,서구,도마1동,도마1동세심경로당,도마17길 60?(도마동),157.4,86.84,27,63,523-8158,
320,서구,도마1동,바탕들경로당,바탕들5길 70?(도마동),140.2,44.33,27,17,584-2012,
321,서구,도마2동,도마2경로당,도솔3길 75?(도마동),160.7,153.2,8,33,533-7669,
322,서구,도마2동,도림정경로당,배재로46번길 70?(도마동),122,140.5,14,14,532-5767,
323,서구,도마2동,럭키@경로당,배재로91번길 21?(도마동),49.68,49.68,13,23,523-0253,
324,서구,도마2동,복음로얄@경로당,배재로 117?(도마동),43,43,14,16,524-8460,
325,서구,도마2동,양지타운@경로당,배재로91번길 38-22?(도마동),89.4,89.4,15,16,369-8880,
326,서구,도마2동,대아@경로당,배재로 185?(도마동),170.6,170.6,15,30,524-1417,
327,서구,도마2동,경남@1단지경로당,배재로 134?(도마동),34.7,34.7,12,20,531-7788,
328,서구,도마2동,경남@2단지경로당,배재로 155-7?(도마동),77.5,77.5,41,0,365-7914,
329,서구,도마2동,경남@2단지연자경로당,배재로 155-7?(도마동),77.5,77.5,0,30,535-5941,
330,서구,도마2동,산적골경로당,사마4길 25?(도마동),175.9,78.41,22,30,534-2008,
331,서구,도마2동,매화경로당,사마9길 5?(도마동),224.1,207.52,2,49,523-1511,
332,서구,도마2동,제비네경로당,제비네10길25(도마동),248.7,98.47,18,34,535-3331,
333,서구,도마2동,대신경로당,대신1길 11(도마동),197.1,122.5,12,31,582-1225,
334,서구,정림동,정림수밋들경로당,정림동로 8-6?(정림동),4021.1,373.87,12,36,582-9707,
335,서구,정림동,원정림경로당,정림서로 9,198.44,134.73,12,22,583-7653,
336,서구,정림동,선골경로당,괴곡길 518?(괴곡동),250,131.75,14,28,582-7515,
337,서구,정림동,삼정@경로당,정림서로 114?(정림동),168.5,168.5,9,25,582-7760,
338,서구,정림동,우성@경로당,정림로 55?(정림동),69.9,69.87,11,50,584-1136,
339,서구,정림동,백목련@경로당,정림서로138번길 21?(정림동),100.6,100.58,30,45,581-5246,
340,서구,정림동,늘푸른@경로당,정림로 11?(정림동),105,105,6,43,582-7690,
341,서구,정림동,정림@경로당,정림서로 203-9?(정림동),44.03,44.03,19,21,582-9832,
342,서구,정림동,강변들백조@경로당,구봉로 419?(정림동),27.88,27.88,11,23,585-6716,
343,서구,정림동,정림공굴안경로당,계백로1307번길 51?(정림동),141,158.04,23,24,533-4875,
344,서구,정림동,강변들보람@경로당,정림서로 162-18?(정림동),120.54,120.54,23,20,583-7776,
345,서구,정림동,강변경로당,계백로1300번길 43?(정림동),1219.3,77.31,17,37,583-2504,
346,서구,정림동,명암경로당,계백로1249 번안길 36-36(정림동),225,176.71,11,10,583-4740,
347,서구,변동,변동경로당,변정5길 98?(변동),98.5,174.2,0,43,523-5871,
348,서구,변동,목운경로당,변동서로28번길 133-35?(변동),1503,124.02,16,26,527-6925,
349,서구,변동,변정경로당,변정3길 18?(변동),1649.6,162.07,37,9,524-5752,
350,서구,변동,변동막골경로당,동서대로1064번길 74-7?(변동),166.2,163.36,12,24,526-1274,
351,서구,변동,변동갓골경로당,중반4길 23?(변동),141.8,133.92,2,70,523-9080,
352,서구,용문동,용문경로당,계룡로 655-7?(용문동),103.8,93.75,31,19,526-5250,
353,서구,용문동,서부경로당,계룡로662번길 49?(용문동),187.1,184.54,26,25,524-0381,
354,서구,용문동,우정경로당,아랫강변4길 68?(용문동),1815.9,171.3,16,48,525-6311,
355,서구,용문동,서우@경로당,도산로370번길 55?(용문동),63,88.8,0,40,522-3800,
356,서구,용문동,아이누리@경로당,계룡로686번길 18?(용문동),43.2,43.2,18,24,528-0040,
357,서구,용문동,한마음(아)경로당,괴정로 203?(용문동),168.5,69.89,12,32,528-4567,
358,서구,탄방동,남산경로당,도솔로483번길 81?(탄방동),213,126,18,13,487-4488,
359,서구,탄방동,탄방경로당,탄방로 65?(탄방동),83.34,85.34,18,49,532-3990,
360,서구,탄방동,양촌경로당,숭어리샘3길 12?(탄방동),145,64.92,19,33,526-8038,
361,서구,탄방동,탄방주공아파트경로당,탄방로 65?(탄방동,142,141.9,4,28,533-4118,
362,서구,탄방동,한가람@경로당,문예로 16?(탄방동),149,148.2,15,32,486-8018,
363,서구,탄방동,공작한양@경로당,문정로 131?(탄방동),120,119.5,14,28,482-7234,
364,서구,탄방동,개나리@경로당,문정로10번길 39?(탄방동),77,76.1,22,10,487-4489,
365,서구,탄방동,리가@경로당,계룡로583번길 12?(탄방동),51.8,51.84,5,26,482-6013,
366,서구,탄방동,한우리@경로당,문정로90번길 60?(탄방동),143,142.56,12,32,483-3867,
367,서구,탄방동,산호@경로당,계룡로571번길 65?(탄방동),214,213.16,14,32,486-3323,
368,서구,탄방동,탄방제일경로당,남선로 66(탄방동),190,130.56,18,41,486-7979,
369,서구,둔산1동,크로바아파트경로당,둔산로 155?(둔산동),168.5,250.8,19,47,483-1124,
370,서구,둔산1동,삼성한마루(아)경로당,둔산북로 160?(둔산동),168.5,66,20,28,483-3599,
371,서구,둔산1동,럭키한마루경로당,둔산북로 160?(둔산동),168.5,66,6,22,482-0573,
372,서구,둔산1동,목련아파트경로당,둔산남로 127?(둔산동),168.5,133.73,17,19,484-6515,
373,서구,둔산1동,햇님아파트경로당,둔산북로 175?(둔산동),168.5,163.2,13,34,484-9638,
374,서구,둔산2동,수정타운@경로당,청사로 282?(둔산동),66,171.3,4,37,484-7517,
375,서구,둔산2동,꿈나무아파트경로당,청사로 253?(둔산동),83,82.52,8,17,486-2469,
376,서구,둔산2동,둥지아파트경로당,청사로 254?(둔산동),70,120,1,22,486-8487,
377,서구,둔산2동,녹원아파트경로당,둔산남로 30?(둔산동),103,102.5,11,26,487-5067,
378,서구,둔산2동,향촌아파트경로당,둔산로 15?(둔산동),350.46,350.46,18,24,482-7666,
379,서구,둔산2동,은하수아파트경로당,둔산남로 15?(둔산동),176,175.5,12,38,486-2774,
380,서구,둔산2동,파랑새아파트경로당,둔지로 75?(둔산동),165.43,245,10,16,488-6257,
381,서구,둔산2동,샘머리@1단지경로당,문예로 174?(둔산동),369,368.66,9,26,484-6524,
382,서구,둔산2동,샘머리@2단지경로당,청사로 281?(둔산동),321,320.19,15,29,488-1023,
383,서구,둔산2동,은초롱아파트경로당,청사로 269?(둔산동),60.21,92.16,12,17,488-0197,
384,서구,둔산3동,삼천경로당,둔산남로191번길 24?(둔산동),1570.8,135.2,13,28,482-0737,
385,서구,둔산3동,보라아파트1단지경로당,둔산로 241?(둔산동),192,191.7,13,39,482-3009,
386,서구,둔산3동,보라아파트2단지경로당,둔산로 241?(둔산동),67,66.8,14,31,487-5788,
387,서구,둔산3동,가람@경로당,둔산북로 215?(둔산동),147,146.15,22,40,482-0376,
388,서구,둔산3동,청솔@경로당,둔산로 223?(둔산동),169,168.48,20,18,482-4311,
389,서구,둔산3동,동성아파트경로당,둔산로 201?(둔산동),100,99.1,10,23,485-8686,
390,서구,둔산3동,국화라이프경로당,둔산로 201?(둔산동),100,99.09,16,20,482-4147,
391,서구,둔산3동,국화우성@경로당,둔산로 201?(둔산동),95,95,12,20,482-4661,
392,서구,둔산3동,국화한신@경로당,둔산로 201?(둔산동),95,95,13,24,482-8469,
393,서구,둔산3동,국화신동아@경로당,둔산로 201?(둔산동),182.6,165,11,33,482-0237,
394,서구,괴정동,괴정경로당,도산로335번길 62?(괴정동),1672.7,106.95,18,33,533-0393,
395,서구,괴정동,응기경로당,가장로 38-6?(괴정동),96.2,53.69,13,35,522-0030,
396,서구,괴정동,백운경로당,용문로 41-17?(괴정동),1741.8,84.24,7,17,525-9197,
397,서구,괴정동,하늘경로당,계룡로576번길 21-6?(괴정동),167,116.92,12,32,535-9188,
398,서구,괴정동,한신아파트경로당,계룡로536번길 9?(괴정동),136,135.3,24,31,525-5343,
399,서구,괴정동,지치울경로당,괴정로16번길 5?(괴정동),1662.1,145.21,26,24,526-0225,
400,서구,가장동,가장들말경로당,들말4길 24?(가장동),1658.2,247.56,29,43,525-5996,
401,서구,가장동,새들경로당,괴정로198번길 46?(가장동),1631.1,162.68,17,15,533-5165,
402,서구,가장동,래미안2단지경로당,가장로 107?(가장동),303.75,303.75,8,43,526-2311,
403,서구,가장동,래미안1단지경로당,가장로 106?(가장동),210,210,8,32,524-6066,
404,서구,내동,내동경로당,동서대로1047번길 16?(내동),1662.1,154.86,16,38,523-2131,
405,서구,내동,코오롱아파트경로당,동서대로 967?(내동),100,100,9,32,532-7229,
406,서구,내동,롯데아파트경로당,신갈마로 46?(내동),247,247,16,36,532-0911,
407,서구,내동,신성아파트경로당,동서대로1014번길 26?(내동),38,37.81,5,19,531-8026,
408,서구,내동,서우아파트경로당,동서대로 994?(내동),285,62.52,13,32,362-6487,
409,서구,내동,맑은아침@경로당,갈마로 262?(내동),228.9,228.9,21,45,536-7979,
410,서구,내동,가장골경로당,동서대로1005번길 78?(내동),216.9,125.03,15,50,522-6767,
411,서구,갈마1동,갈마제2경로당,월평중로4번길82-8(갈마동),147.1,168.21,27,19,486-8024,
412,서구,갈마1동,우리경로당,계룡로 383-43?(갈마동),81.3,121.95,15,18,488-7945,
413,서구,갈마1동,갈마제1경로당,신갈마로167번길 20?(갈마동),120.2,131.15,25,15,524-2616,
414,서구,갈마1동,갈마아파트경로당,신갈마로 95?(갈마동),213.54,213.54,59,53,532-8053,
415,서구,갈마1동,갈마울경로당,계룡로320번길 58?(갈마동),302.93,396.36,13,30,525-6769,
416,서구,갈마1동,인터빌(아)경로당,신갈마로 58-17?(갈마동),40,21.5,17,22,534-5454,
417,서구,갈마1동,미소마을경로당,신갈마로 66-17?(갈마동),47.04,47.04,14,27,522-6277,
418,서구,갈마2동,건능골경로당,갈마로103번길 41?(갈마동),2000,116.23,20,30,533-9943,
419,서구,갈마2동,숭덕경로당,갈마중로7번길 42?(갈마동),139.8,82.8,25,24,525-2955,
420,서구,갈마2동,쌍용아파트경로당,갈마로103번길 36?(갈마동),56,55.45,16,17,524-8376,
421,서구,갈마2동,큰마을아파트경로당,대덕대로 150?(갈마동),310.9,310.9,16,43,536-0910,
422,서구,갈마2동,명학경로당,갈마중로 43?(갈마동),1546.4,205.26,12,26,527-1006,
423,서구,갈마2동,천수경로당(도로공사아파트),갈마중로16번길 7(갈마동) 난방28,7.090.7,39.6,12,16,523-0201,
424,서구,갈마2동,갈마동푸른아파트경로당,"갈마로117번길23(갈마동,푸른아파트)",5305.1,39.36,13,23,535-3138,
425,서구,월평1동,월평경로당,월평로27번길 1?(월평동),1558.9,165.16,29,33,486-5960,
426,서구,월평1동,월평제1경로당,월평새뜸로4번길 49-26(월평동),2069.1,164.69,21,32,488-9781,
427,서구,월평1동,월평제2경로당,계룡로232번길 171?(월평동),496,190.68,17,25,485-0208,
428,서구,월평1동,월평제3경로당,월평중로24번길 39?(월평동),1779.3,245.43,6,28,485-0208,
429,서구,월평1동,월평타운경로당,계룡로264번길 4?(월평동),83,82.56,10,30,532-0708,
430,서구,월평2동,월평주공@1단지경로당,월평북로 11?(월평동),123,132,14,61,484-6715,
431,서구,월평2동,월평주공@2단지경로당,월평북로 11?(월평동),196,196,12,35,486-6633,
432,서구,월평2동,월평주공@3단지경로당,월평북로 11?(월평동),176,175.71,11,76,484-6030,
433,서구,월평2동,백합아파트경로당,청사서로 41?(월평동),81,80.5,11,32,482-1253,
434,서구,월평2동,샛별아파트경로당,청사서로 29?(월평동),75,74.19,16,22,485-7882,
435,서구,월평2동,한아름아파트경로당,청사서로 65?(월평동),84,83.3,7,25,485-2324,
436,서구,월평2동,무지개아파트경로당,청사서로 11?(월평동),82,81.81,16,15,482-7938,
437,서구,월평2동,무궁화아파트경로당,청사서로 70?(월평동),99,99,17,29,485-9065,
438,서구,월평3동,하나로아파트경로당,청사로 5?(월평동),130,130,17,29,487-1020,
439,서구,월평3동,황실타운@경로당,청사로 65?(월평동),268,267.55,7,38,489-6848,
440,서구,월평3동,다모아아파트경로당,월평동로 83?(월평동),115,115,12,28,489-6451,
441,서구,월평3동,전원아파트경로당,월평중로 50?(월평동),52,51.75,13,27,485-3078,
442,서구,월평3동,누리아파트경로당,청사로 70?(월평동),122,122,19,43,485-7662,
443,서구,월평3동,진달래아파트경로당,월평동로 45?(월평동),82,82,8,28,487-3047,
444,서구,만년동,만년경로당,만년남로3번길 101?(만년동),2510.5,151.45,12,14,488-7122,
445,서구,만년동,상아아파트경로당,대덕대로 415?(만년동),112,112,13,26,485-4276,
446,서구,만년동,초원아파트경로당,만년로 45?(만년동),199,199,12,24,485-4282,
447,서구,만년동,상록수아파트경로당,만년남로 8?(만년동),198,198,5,30,489-0899,
448,서구,만년동,강변아파트경로당,만년로 25?(만년동),101,100.15,2,32,489-7276,
449,서구,가수원동,가수원경로당,가수원중로 43-11?(가수원동),1875.4,92.19,36,18,541-6917,
450,서구,가수원동,가수원제4경로당(새말),벌곡로1328번안길 124-33(가수원동),430,46.61,21,21,541-8753,
451,서구,가수원동,중앙(원모)경로당,벌곡로1379번길 33?(가수원동),1703.1,159.73,31,19,541-9076,
452,서구,가수원동,계룡아파트경로당,가수원로 98?(가수원동),77,91,0,44,541-7047,
453,서구,가수원동,은아@1단지경로당,가수원로 72?(가수원동),83,82.5,13,24,541-8787,
454,서구,가수원동,은아@2단지경로당,계백로1158번길 113?(가수원동),30,29.7,14,25,541-8752,
455,서구,가수원동,은아@3단지경로당,가수원로 106?(가수원동),76,75.9,21,35,541-7520,
456,서구,가수원동,은아@5단지경로당,가수원로 6?(가수원동),131,131,8,43,541-6141,
457,서구,가수원동,괴곡경로당,고릿골길 107?(괴곡동),324,174.8,21,33,583-8493,
458,서구,가수원동,백야경로당,가수원로 17-16?(가수원동),287.8,155.34,8,40,544-3008,
459,서구,가수원동,수목토@경로당,"도안동로177(도안동,수목토@)",232.45,232.45,7,14,541-0151,
460,서구,가수원동,파렌하이트@경로당,"도안북로 136(도안동, 파렌하이트@)",148.6,148.6,12,11,826-0542,
461,서구,가수원동,금성백조예미지아파트,"도안북로 125(도안동, 금성백조예미지@)",106.62,106.62,10,11,826-7055,
462,서구,가수원동,도안아이파크아파트경로당,"도안동로 183(도안동, 도안아이파크@)",161.82,161.82,10,15,545-9322,
463,서구,가수원동,도안베르디움아파트경로당,"원도안로 100(도안동,도안베르디움@)",187.38,187.38,13,19,543-8893,
464,서구,가수원동,도안리슈빌아파트경로당,"도안동로 123(도안동,도안리슈빌@)",149.8,148.6,14,10,672-1738,
465,서구,가수원동,도안린풀하우스아파트경로당,"도안동로 77(도안동,도안린풀하우수@)",235.86,235.86,19,19,534-7944,
466,서구,관저1동,원앙마을@1단지경로당,관저북로 87?(관저동),50,49.5,16,18,545-4804,
467,서구,관저1동,원앙마을@2단지경로당,관저북로 80?(관저동),90,90,13,31,545-7774,
468,서구,관저1동,원앙마을@4-1단지,관저북로 14?(관저동),81,80.15,15,28,545-0675,
469,서구,관저1동,원앙마을@4-2단지,관저북로 14?(관저동),34,108,6,29,544-7714,
470,서구,관저1동,대자연마을@경로당,관저북로 52?(관저동),132,131.94,9,37,544-0990,
471,서구,관저2동,구봉마을7단지경로당,관저로 48?(관저동),115,114.39,6,29,542-7474,
472,서구,관저2동,구봉마을8-1단지,관저로 84?(관저동),2018,187.06,14,26,543-2751,
473,서구,관저2동,구봉마을8-2단지,관저로 84?(관저동),83,79.2,14,26,544-9083,
474,서구,관저2동,신선마을(아)경로당,관저로 83?(관저동),126,126,12,21,544-1811,
475,서구,관저2동,구봉마을(아)9단지,관저서로 20?(관저동),120,120,11,21,361-9595,
476,서구,관저2동,구봉마을@5단지,관저로 51?(관저동),134.17,134.17,14,23,545-1181,
477,서구,관저2동,느리울@13단지,관저동로 42?(관저동),83.26,83.26,8,24,389-8855,
478,서구,관저2동,느리울@12단지,관저로 184?(관저동),114.07,114.07,6,26,544-9991,
479,서구,관저2동,느리울마을1단지,관저동로90번길 47?(관저동),103.421,103.42,6,26,365-6021,
480,서구,관저2동,신선암경로당,관저로129번길 26?(관저동),1976.5,187.64,13,14,545-3031,
481,서구,관저2동,관저리슈빌경로당,관저동로90번길 15?(관저동,144.78,144.78,14,23,365-1420,
482,서구,관저2동,관저천년나무1단지아파트경로당,구봉산북로 212(관저동),37048.4,136.18,24,31,526-7007,
483,서구,기성동,흑석1경로당,금평4길 11?(흑석동),297.9,144.92,36,51,583-5433,
484,서구,기성동,흑석2경로당,사진개길 19-2?(흑석동),288,149,21,27,583-5296,
485,서구,기성동,매노1경로당,원매노길 27?(매노동),495.8,46.2,16,24,582-1260,
486,서구,기성동,매노2경로당,황골길 127?(매노동),174,102.66,11,25,583-2433,
487,서구,기성동,매노승상경로당,승상골길 38-10?(매노동),261,98.64,12,22,584-2889,
488,서구,기성동,산직1경로당,용바위길 1?(산직동),99,131.4,20,33,582-7512,
489,서구,기성동,산직2경로당,가마절길 7?(산직동),410,191.83,14,22,583-6816,
490,서구,기성동,장안1경로당,장안로 560?(장안동),112,30.58,10,21,585-7823,
491,서구,기성동,평촌1경로당,길평길 5?(평촌동),400,236.13,24,30,585-4710,
492,서구,기성동,평촌2경로당,길마루길 49?(평촌동),271,66,11,27,584-9949,
493,서구,기성동,평촌3경로당,증촌1길 104?(평촌동),264,148.96,14,16,585-0993,
494,서구,기성동,오동경로당,장전길 49?(오동),158,98.1,19,33,582-2534,
495,서구,기성동,무궁화용사촌경로당,영골길 82-76?(오동),779,192.46,12,12,586-1233,
496,서구,기성동,우명1경로당,댓고개길 1?(우명동),216,165.14,11,23,582-5983,
497,서구,기성동,우명2경로당,우명길 46?(우명동),255,99.04,11,21,582-0657,
498,서구,기성동,원정1경로당,노적골길 2(원정동),165,89.9,21,32,585-9816,
499,서구,기성동,원정2경로당,덕골길 29?(원정동),326,165,15,10,585-1795,
500,서구,기성동,원정3경로당,무도리길 247?(원정동),147,94.23,20,21,581-2894,
501,서구,기성동,용촌경로당(1통),시누리길 31?(용촌동),460,99.12,15,23,585-8612,
502,서구,기성동,정방경로당,정방길 200?(용촌동),383,84.35,8,13,585-5697,
503,서구,기성동,용촌미림경로당(2통),방앗간길 379?(용촌동),324,118.42,12,23,583-6115,
504,서구,기성동,봉곡1경로당,세점길 630?(봉곡동),168,89,16,30,585-8966,
505,서구,기성동,봉곡2경로당,승상골길 370-10?(봉곡동),206,94.68,11,18,583-9586,
506,유성구,진잠동,성북1통경로당,성북로154번길 502(성북동),132.48,77,12,19,825-6187,
507,유성구,진잠동,성북2통경로당,성북로154번길 331(성북동),175.18,113,19,40,825-0054,
508,유성구,진잠동,성북3통경로당,성북로161번길 58(성북동),135.6,93,18,26,543-2040,
509,유성구,진잠동,세동1통경로당,세동로 510번길10-10(세동),192.2,154,24,34,825-3461,
510,유성구,진잠동,세동2통경로당,세동로 258번길 27-9(세동),190.4,60,23,35,825-3676,
511,유성구,진잠동,송정1통경로당,송정길96번길 13(송정동) ,165.6,83,25,35,825-5545,
512,유성구,진잠동,송정2통경로당,계백로93번길 113(송정동),185.4,93,24,35,825-3530,
513,유성구,진잠동,방동1.2통경로당,세동로 19-11(방동),164.7,165,16,33,825-6353,
514,유성구,진잠동,방동3통경로당,계백로408번길 45-5(방동),198.8,99,19,16,825-0345,
515,유성구,진잠동,방동4통경로당,방동 산37,69.6,66,13,18,544-1441,
516,유성구,진잠동,방동5통경로당,성북로 80(방동),101.89,54,9,14,544-1069,
517,유성구,진잠동,원내1통경로당,진잠로78번길 3(원내동),347.35,50,6,25,544-4717,
518,유성구,진잠동,원내2통경로당,진잠로102번길 50,60.12,60,12,17,543-7393,
519,유성구,진잠동,원내3통경로당,진잠로160번길 50(원내동),84.95,85,6,20,544-1377,
520,유성구,진잠동,"원내6,7통경로당",진잠로70번길 30,199.37,199,9,20,544-9998,
521,유성구,진잠동,진잠동경로당,진잠로140번길 13-7(원내동),104.1,104,13,28,543-3542,
522,유성구,진잠동,교촌3통경로당,유성대로155번길 24(교촌동),194.46,127,17,25,542-2082,
523,유성구,진잠동,대정1통경로당,한우물로 93(대정동) ,102.75,99,23,32,543-5088,
524,유성구,진잠동,대정2통경로당,유성대로217번길 34(대정동) ,68.72,69,12,14,544-4739,
525,유성구,진잠동,대정3통경로당,원계산로77번길 17(대정동),166.92,69,13,21,544-1191,
526,유성구,진잠동,용계1통경로당,유성대로320번길 89(용계동),90.645,91,15,21,545-8370,
527,유성구,진잠동,용계2통경로당,용계로 80(용계동),53,53,21,35,544-5285,
528,유성구,진잠동,학하1통경로당,진잠옛로175번길 30(학하동),265.14,78,16,20,823-9785,
529,유성구,진잠동,계산1통경로당,원계산로 140(계산동),208.83,106,17,14,823-8397,
530,유성구,진잠동,샘물타운(아)경로당,원내로 52(원내동),94.6,95,18,26,545-3005,
531,유성구,진잠동,진잠타운(아)경로당,진잠로42번길 88(원내동),88,88,15,20,544-5193,
532,유성구,진잠동,진잠타운할머니경로당,진잠로42번길 88(원내동),82,82,0,25,544-9199,
533,유성구,진잠동,한아름(아)경로당,진잠로42번길 30(원내동),95,95,10,19,545-1124,
534,유성구,진잠동,진잠드리움1단지(아)경로당,대정로28번길 50(대정동),105.78,106,8,18,362-7744,
535,유성구,진잠동,진잠드리움2단지(아)경로당,대정로28번안길 80(대정동),67.741,68,13,19,543-1146,
536,유성구,진잠동,제이파크(아)경로당,진잠로149번길 24(교촌동),51.84,52,13,19,543-1377,
537,유성구,진잠동,미메이드(아)경로당,진잠로149번길 30(교촌동),68.25,68,11,16,546-0074,
538,유성구,진잠동,오투그란데미학(아)경로당,학하남로 10(계산동),192.65,193,12,20,822-7137,
539,유성구,진잠동,학의뜰(아)경로당,계산동 학하지구 138-1블럭,209.71,210,15,19,825-5069,
540,유성구,원신흥동,목련(아)1단지경로당,월드컵대로290번길 39,39.6,40,17,25,482-5509,
541,유성구,원신흥동,목련(아)2단지경로당,월드컵대로290번길 20,39.6,40,20,24,484-1011,
542,유성구,원신흥동,평화이지(아)경로당,월드컵대로290번길 25,25.2,25,15,24,822-5272,
543,유성구,원신흥동,도안마을1단지(아)경로당,도안대로 560,251.88,252,13,51,826-2661,
544,유성구,원신흥동,한라비발디경로당,상대로 17,177.14,177,11,13,822-8343,
545,유성구,원신흥동,도안휴먼시아4단지(아)경로당,상대로 40,163.58,164,14,26,825-8088,
546,유성구,원신흥동,도안휴먼시아6단지,봉명로 93 ,236.45,236,28,32,825-4622,
547,유성구,원신흥동,신안인스빌리베라(아)경로당,봉명로 48,126.72,127,16,29,825-6056,
548,유성구,원신흥동,트리풀시티9단지경로당,상대남로 26,297.78,298,6,58,825-9986,
549,유성구,원신흥동,도안휴먼시아10단지(아)경로당,원신흥로 37,243.17,243,24,43,822-3895,
550,유성구,원신흥동,어울림하트경로당,동서대로 725,148.63,149,13,19,825-0903,
551,유성구,원신흥동,도안2단지베르디움(아)경로당,도안동로 523,180.8263,191,18,23,826-5231,
552,유성구,원신흥동,도안7단지예미지(아)경로당,봉명로 94,165.77,166,11,14,824-8225,
553,유성구,원신흥동,트리풀시티5단지(아)경로당,상대로 16,188.016,188,11,11,824-1540,
554,유성구,온천1동,봉명3통경로당,계룡로46번길 43,56,56,22,17,823-9760,
555,유성구,온천1동,봉명희망마을경로당,유성대로680번길 126,520,185,19,27,822-9899,
556,유성구,온천1동,봉명6통할머니경로당,계룡로74번길 79-15,97.22,97,0,36,823-6296,
