시도,시군구,자격별,성별,연령구분,신청자, 계 , 1등급 , 2등급 , 3등급 , 4등급 , 5등급 , 등급외 
서울특별시,용산구,일반,남자,80-84세,122,94,11,14,34,29,6,7
서울특별시,용산구,일반,남자,85세이상,148,115,10,26,40,35,4,8
서울특별시,용산구,일반,여자,65세미만,30,19,5,5,5,4,0,4
서울특별시,용산구,일반,여자,65-69세,75,35,10,2,12,10,1,10
서울특별시,용산구,일반,여자,70-74세,143,63,7,13,21,20,2,20
서울특별시,용산구,일반,여자,75-79세,279,149,10,17,64,51,7,41
서울특별시,용산구,일반,여자,80-84세,340,218,23,24,82,76,13,47
서울특별시,용산구,일반,여자,85세이상,458,354,37,71,137,98,11,33
서울특별시,용산구,기초,남자,65세미만,20,7,0,0,3,4,0,6
서울특별시,용산구,기초,남자,65-69세,25,9,1,1,1,6,0,6
서울특별시,용산구,기초,남자,70-74세,24,8,1,3,1,3,0,4
서울특별시,용산구,기초,남자,75-79세,14,5,0,1,4,0,0,5
서울특별시,용산구,기초,남자,80-84세,12,4,1,0,1,2,0,2
서울특별시,용산구,기초,남자,85세이상,7,2,0,1,1,0,0,3
서울특별시,용산구,기초,여자,65세미만,8,5,1,3,1,0,0,2
서울특별시,용산구,기초,여자,65-69세,38,10,0,1,3,6,0,7
서울특별시,용산구,기초,여자,70-74세,54,14,0,0,2,10,2,14
서울특별시,용산구,기초,여자,75-79세,56,24,1,4,9,10,0,16
서울특별시,용산구,기초,여자,80-84세,53,25,3,1,6,15,0,16
서울특별시,용산구,기초,여자,85세이상,61,38,4,5,12,16,1,14
서울특별시,용산구,의료,남자,65세미만,0,0,0,0,0,0,0,0
서울특별시,용산구,의료,남자,65-69세,1,0,0,0,0,0,0,0
서울특별시,용산구,의료,남자,70-74세,0,0,0,0,0,0,0,0
서울특별시,용산구,의료,남자,75-79세,1,1,0,0,1,0,0,0
서울특별시,용산구,의료,남자,80-84세,3,1,0,0,1,0,0,1
서울특별시,용산구,의료,남자,85세이상,2,2,0,1,1,0,0,0
서울특별시,용산구,의료,여자,65세미만,0,0,0,0,0,0,0,0
서울특별시,용산구,의료,여자,65-69세,0,0,0,0,0,0,0,0
서울특별시,용산구,의료,여자,70-74세,2,0,0,0,0,0,0,1
서울특별시,용산구,의료,여자,75-79세,1,1,0,0,1,0,0,0
서울특별시,용산구,의료,여자,80-84세,5,4,0,0,1,3,0,1
서울특별시,용산구,의료,여자,85세이상,5,5,0,1,3,1,0,0
서울특별시,용산구,감경,남자,65세미만,5,4,1,1,0,1,1,0
서울특별시,용산구,감경,남자,65-69세,6,6,2,1,2,0,1,0
서울특별시,용산구,감경,남자,70-74세,5,5,1,1,2,1,0,0
서울특별시,용산구,감경,남자,75-79세,7,5,1,1,3,0,0,0
서울특별시,용산구,감경,남자,80-84세,5,4,0,0,2,2,0,1
서울특별시,용산구,감경,남자,85세이상,4,4,2,0,0,2,0,0
서울특별시,용산구,감경,여자,65세미만,3,3,1,0,1,1,0,0
서울특별시,용산구,감경,여자,65-69세,2,2,1,1,0,0,0,0
서울특별시,용산구,감경,여자,70-74세,16,14,1,6,3,4,0,0
서울특별시,용산구,감경,여자,75-79세,20,18,5,4,1,7,1,1
서울특별시,용산구,감경,여자,80-84세,21,21,5,4,7,5,0,0
서울특별시,용산구,감경,여자,85세이상,64,62,5,13,28,16,0,0
서울특별시,성동구,일반,남자,65세미만,47,28,5,4,9,9,1,10
서울특별시,성동구,일반,남자,65-69세,72,46,9,7,13,14,3,7
서울특별시,성동구,일반,남자,70-74세,133,74,10,4,32,25,3,17
서울특별시,성동구,일반,남자,75-79세,149,100,11,14,32,34,9,9
서울특별시,성동구,일반,남자,80-84세,139,104,7,13,31,44,9,7
서울특별시,성동구,일반,남자,85세이상,102,79,4,11,27,31,6,7
서울특별시,성동구,일반,여자,65세미만,51,37,10,6,12,7,2,8
서울특별시,성동구,일반,여자,65-69세,96,41,7,7,13,13,1,21
서울특별시,성동구,일반,여자,70-74세,233,129,12,19,38,47,13,37
서울특별시,성동구,일반,여자,75-79세,367,221,16,17,69,88,31,47
서울특별시,성동구,일반,여자,80-84세,414,268,21,38,80,94,35,47
서울특별시,성동구,일반,여자,85세이상,485,379,22,77,127,130,23,34
서울특별시,성동구,기초,남자,65세미만,27,18,2,3,7,5,1,3
서울특별시,성동구,기초,남자,65-69세,12,3,0,0,0,2,1,4
서울특별시,성동구,기초,남자,70-74세,32,15,1,2,7,3,2,2
서울특별시,성동구,기초,남자,75-79세,26,13,0,4,5,4,0,5
서울특별시,성동구,기초,남자,80-84세,14,10,1,1,2,2,4,1
서울특별시,성동구,기초,남자,85세이상,13,8,1,1,2,3,1,1
서울특별시,성동구,기초,여자,65세미만,15,8,2,0,2,2,2,4
서울특별시,성동구,기초,여자,65-69세,30,12,2,2,4,4,0,7
서울특별시,성동구,기초,여자,70-74세,49,27,3,4,7,12,1,9
서울특별시,성동구,기초,여자,75-79세,83,44,0,5,16,21,2,15
서울특별시,성동구,기초,여자,80-84세,76,41,3,4,8,21,5,16
서울특별시,성동구,기초,여자,85세이상,86,68,6,6,20,34,2,3
서울특별시,성동구,의료,남자,65세미만,0,0,0,0,0,0,0,0
서울특별시,성동구,의료,남자,65-69세,2,1,0,0,1,0,0,1
서울특별시,성동구,의료,남자,70-74세,1,1,0,0,1,0,0,0
서울특별시,성동구,의료,남자,75-79세,0,0,0,0,0,0,0,0
서울특별시,성동구,의료,남자,80-84세,1,1,0,0,0,0,1,0
서울특별시,성동구,의료,남자,85세이상,1,1,0,1,0,0,0,0
서울특별시,성동구,의료,여자,65세미만,0,0,0,0,0,0,0,0
서울특별시,성동구,의료,여자,65-69세,0,0,0,0,0,0,0,0
서울특별시,성동구,의료,여자,70-74세,1,0,0,0,0,0,0,0
서울특별시,성동구,의료,여자,75-79세,4,2,1,0,0,1,0,2
서울특별시,성동구,의료,여자,80-84세,1,0,0,0,0,0,0,0
서울특별시,성동구,의료,여자,85세이상,5,4,0,0,3,1,0,1
서울특별시,성동구,감경,남자,65세미만,10,8,1,1,4,2,0,0
서울특별시,성동구,감경,남자,65-69세,8,8,1,1,4,1,1,0
서울특별시,성동구,감경,남자,70-74세,7,7,1,0,4,2,0,0
서울특별시,성동구,감경,남자,75-79세,14,12,2,1,5,3,1,1
서울특별시,성동구,감경,남자,80-84세,10,10,2,1,3,4,0,0
서울특별시,성동구,감경,남자,85세이상,14,13,1,2,5,5,0,0
서울특별시,성동구,감경,여자,65세미만,8,7,1,0,1,5,0,1
서울특별시,성동구,감경,여자,65-69세,9,7,1,0,2,4,0,2
서울특별시,성동구,감경,여자,70-74세,17,14,1,0,8,5,0,2
서울특별시,성동구,감경,여자,75-79세,38,36,3,6,11,14,2,0
서울특별시,성동구,감경,여자,80-84세,43,38,1,8,14,13,2,1
서울특별시,성동구,감경,여자,85세이상,72,68,7,10,31,20,0,2
서울특별시,광진구,일반,남자,65세미만,58,29,4,2,15,7,1,13
서울특별시,광진구,일반,남자,65-69세,84,46,6,7,16,14,3,10
서울특별시,광진구,일반,남자,70-74세,129,74,7,10,28,27,2,20
서울특별시,광진구,일반,남자,75-79세,176,108,10,12,51,29,6,24
서울특별시,광진구,일반,남자,80-84세,175,117,4,14,48,40,11,24
서울특별시,광진구,일반,남자,85세이상,161,117,4,13,57,35,8,14
서울특별시,광진구,일반,여자,65세미만,39,28,5,1,15,7,0,4
서울특별시,광진구,일반,여자,65-69세,107,52,6,4,18,21,3,22
서울특별시,광진구,일반,여자,70-74세,235,121,8,22,38,42,11,43
서울특별시,광진구,일반,여자,75-79세,415,226,17,38,77,69,25,82
서울특별시,광진구,일반,여자,80-84세,440,286,11,55,106,90,24,69
서울특별시,광진구,일반,여자,85세이상,585,466,23,107,192,124,20,46
서울특별시,광진구,기초,남자,65세미만,27,15,3,1,8,3,0,6
서울특별시,광진구,기초,남자,65-69세,16,6,0,2,2,2,0,4
서울특별시,광진구,기초,남자,70-74세,9,5,0,1,4,0,0,1
서울특별시,광진구,기초,남자,75-79세,20,14,1,0,4,7,2,4
서울특별시,광진구,기초,남자,80-84세,10,4,1,0,0,3,0,4
서울특별시,광진구,기초,남자,85세이상,10,8,0,1,4,3,0,1
서울특별시,광진구,기초,여자,65세미만,18,9,3,1,3,2,0,3
서울특별시,광진구,기초,여자,65-69세,25,8,0,2,3,2,1,7
서울특별시,광진구,기초,여자,70-74세,58,23,1,2,9,10,1,20
서울특별시,광진구,기초,여자,75-79세,87,37,3,4,11,16,3,30
서울특별시,광진구,기초,여자,80-84세,75,41,1,5,16,15,4,21
서울특별시,광진구,기초,여자,85세이상,93,67,2,6,23,33,3,14
서울특별시,광진구,의료,남자,65세미만,0,0,0,0,0,0,0,0
서울특별시,광진구,의료,남자,65-69세,0,0,0,0,0,0,0,0
서울특별시,광진구,의료,남자,70-74세,0,0,0,0,0,0,0,0
서울특별시,광진구,의료,남자,75-79세,2,1,0,0,0,1,0,1
서울특별시,광진구,의료,남자,80-84세,4,1,0,0,1,0,0,0
서울특별시,광진구,의료,남자,85세이상,6,6,0,0,2,3,1,0
서울특별시,광진구,의료,여자,65세미만,0,0,0,0,0,0,0,0
서울특별시,광진구,의료,여자,65-69세,0,0,0,0,0,0,0,0
서울특별시,광진구,의료,여자,70-74세,1,0,0,0,0,0,0,1
서울특별시,광진구,의료,여자,75-79세,5,4,0,1,1,2,0,0
서울특별시,광진구,의료,여자,80-84세,6,3,1,0,2,0,0,0
서울특별시,광진구,의료,여자,85세이상,12,10,1,0,3,6,0,1
서울특별시,광진구,감경,남자,65세미만,7,6,2,0,2,2,0,1
서울특별시,광진구,감경,남자,65-69세,8,7,0,2,5,0,0,0
서울특별시,광진구,감경,남자,70-74세,14,13,0,3,3,6,1,1
서울특별시,광진구,감경,남자,75-79세,16,15,0,3,7,5,0,0
서울특별시,광진구,감경,남자,80-84세,12,11,0,0,4,6,1,0
서울특별시,광진구,감경,남자,85세이상,6,6,0,0,4,2,0,0
서울특별시,광진구,감경,여자,65세미만,11,10,2,2,3,2,1,0
서울특별시,광진구,감경,여자,65-69세,12,7,3,0,1,3,0,3
서울특별시,광진구,감경,여자,70-74세,14,10,0,0,5,4,1,3
서울특별시,광진구,감경,여자,75-79세,42,35,0,6,16,13,0,2
서울특별시,광진구,감경,여자,80-84세,54,51,3,8,19,18,3,1
서울특별시,광진구,감경,여자,85세이상,117,111,6,20,55,29,1,4
서울특별시,동대문구,일반,남자,65세미만,103,57,15,8,21,12,1,9
서울특별시,동대문구,일반,남자,65-69세,160,99,18,13,33,35,0,14
서울특별시,동대문구,일반,남자,70-74세,207,141,21,24,57,35,4,12
서울특별시,동대문구,일반,남자,75-79세,272,198,38,36,51,62,11,21
서울특별시,동대문구,일반,남자,80-84세,207,161,10,31,66,47,7,9
서울특별시,동대문구,일반,남자,85세이상,173,129,13,20,62,31,3,13
서울특별시,동대문구,일반,여자,65세미만,92,61,16,7,27,11,0,6
서울특별시,동대문구,일반,여자,65-69세,163,76,15,12,32,16,1,20
서울특별시,동대문구,일반,여자,70-74세,327,179,23,26,68,56,6,31
서울특별시,동대문구,일반,여자,75-79세,554,355,40,56,123,114,22,61
서울특별시,동대문구,일반,여자,80-84세,632,455,34,70,165,166,20,45
서울특별시,동대문구,일반,여자,85세이상,672,555,50,109,219,164,13,38
서울특별시,동대문구,기초,남자,65세미만,60,29,10,1,12,6,0,8
서울특별시,동대문구,기초,남자,65-69세,68,27,2,6,9,10,0,11
서울특별시,동대문구,기초,남자,70-74세,57,25,3,4,7,10,1,8
서울특별시,동대문구,기초,남자,75-79세,50,23,1,6,6,10,0,10
서울특별시,동대문구,기초,남자,80-84세,44,27,2,3,10,11,1,8
서울특별시,동대문구,기초,남자,85세이상,10,6,0,1,3,2,0,2
서울특별시,동대문구,기초,여자,65세미만,33,21,2,2,8,9,0,2
서울특별시,동대문구,기초,여자,65-69세,91,39,6,5,10,17,1,13
서울특별시,동대문구,기초,여자,70-74세,131,53,4,6,9,34,0,33
서울특별시,동대문구,기초,여자,75-79세,144,83,7,11,32,32,1,20
서울특별시,동대문구,기초,여자,80-84세,139,92,3,15,31,39,4,17
서울특별시,동대문구,기초,여자,85세이상,140,109,8,24,40,36,1,13
서울특별시,동대문구,의료,남자,65세미만,1,0,0,0,0,0,0,1
서울특별시,동대문구,의료,남자,65-69세,1,1,0,0,1,0,0,0
서울특별시,동대문구,의료,남자,70-74세,0,0,0,0,0,0,0,0
서울특별시,동대문구,의료,남자,75-79세,3,0,0,0,0,0,0,0
서울특별시,동대문구,의료,남자,80-84세,3,3,0,1,1,1,0,0
서울특별시,동대문구,의료,남자,85세이상,1,1,0,0,0,1,0,0
서울특별시,동대문구,의료,여자,65세미만,2,1,0,0,0,1,0,0
서울특별시,동대문구,의료,여자,65-69세,1,0,0,0,0,0,0,1
서울특별시,동대문구,의료,여자,70-74세,4,1,0,0,1,0,0,1
서울특별시,동대문구,의료,여자,75-79세,4,2,1,0,1,0,0,1
서울특별시,동대문구,의료,여자,80-84세,16,13,2,4,4,3,0,1
서울특별시,동대문구,의료,여자,85세이상,6,5,1,1,1,2,0,0
서울특별시,동대문구,감경,남자,65세미만,25,22,2,2,11,7,0,0
서울특별시,동대문구,감경,남자,65-69세,11,11,2,1,4,4,0,0
서울특별시,동대문구,감경,남자,70-74세,13,12,0,6,4,2,0,0
서울특별시,동대문구,감경,남자,75-79세,24,22,4,6,9,3,0,0
서울특별시,동대문구,감경,남자,80-84세,19,16,2,2,7,5,0,2
서울특별시,동대문구,감경,남자,85세이상,18,17,4,3,1,9,0,0
서울특별시,동대문구,감경,여자,65세미만,10,10,4,1,3,2,0,0
서울특별시,동대문구,감경,여자,65-69세,18,18,1,3,9,5,0,0
서울특별시,동대문구,감경,여자,70-74세,31,27,3,5,12,7,0,2
서울특별시,동대문구,감경,여자,75-79세,56,51,7,14,14,15,1,2
서울특별시,동대문구,감경,여자,80-84세,81,77,10,14,34,19,0,0
서울특별시,동대문구,감경,여자,85세이상,154,151,8,33,71,38,1,1
서울특별시,중랑구,일반,남자,65세미만,143,89,13,9,47,16,4,21
서울특별시,중랑구,일반,남자,65-69세,139,82,12,10,40,19,1,21
서울특별시,중랑구,일반,남자,70-74세,206,129,18,15,55,38,3,17
서울특별시,중랑구,일반,남자,75-79세,243,177,17,35,65,47,13,22
서울특별시,중랑구,일반,남자,80-84세,200,132,16,11,43,50,12,18
서울특별시,중랑구,일반,남자,85세이상,132,96,4,17,42,28,5,14
서울특별시,중랑구,일반,여자,65세미만,120,76,12,9,38,13,4,18
서울특별시,중랑구,일반,여자,65-69세,195,99,14,12,42,26,5,27
서울특별시,중랑구,일반,여자,70-74세,321,175,20,24,61,57,13,40
서울특별시,중랑구,일반,여자,75-79세,555,316,20,52,97,118,29,86
서울특별시,중랑구,일반,여자,80-84세,600,400,31,65,139,136,29,56
서울특별시,중랑구,일반,여자,85세이상,679,553,44,119,201,168,21,35
서울특별시,중랑구,기초,남자,65세미만,88,63,13,8,23,18,1,12
서울특별시,중랑구,기초,남자,65-69세,71,34,4,6,7,15,2,21
서울특별시,중랑구,기초,남자,70-74세,57,27,1,3,10,13,0,10
서울특별시,중랑구,기초,남자,75-79세,50,33,3,7,11,11,1,9
서울특별시,중랑구,기초,남자,80-84세,36,24,1,7,4,8,4,8
서울특별시,중랑구,기초,남자,85세이상,23,19,2,4,11,2,0,1
서울특별시,중랑구,기초,여자,65세미만,42,35,7,1,12,13,2,1
서울특별시,중랑구,기초,여자,65-69세,87,41,6,7,12,13,3,22
서울특별시,중랑구,기초,여자,70-74세,145,74,13,6,18,32,5,37
서울특별시,중랑구,기초,여자,75-79세,202,125,13,16,53,38,5,51
서울특별시,중랑구,기초,여자,80-84세,215,146,20,28,49,44,5,33
서울특별시,중랑구,기초,여자,85세이상,298,247,32,43,100,69,3,28
서울특별시,중랑구,의료,남자,65세미만,0,0,0,0,0,0,0,0
서울특별시,중랑구,의료,남자,65-69세,1,1,0,1,0,0,0,0
서울특별시,중랑구,의료,남자,70-74세,1,0,0,0,0,0,0,1
서울특별시,중랑구,의료,남자,75-79세,1,0,0,0,0,0,0,1
서울특별시,중랑구,의료,남자,80-84세,3,2,0,0,1,1,0,1
서울특별시,중랑구,의료,남자,85세이상,7,4,0,0,3,1,0,1
서울특별시,중랑구,의료,여자,65세미만,0,0,0,0,0,0,0,0
서울특별시,중랑구,의료,여자,65-69세,2,2,0,0,0,2,0,0
서울특별시,중랑구,의료,여자,70-74세,4,1,0,0,0,1,0,2
서울특별시,중랑구,의료,여자,75-79세,5,3,0,0,3,0,0,1
서울특별시,중랑구,의료,여자,80-84세,17,13,1,5,4,3,0,3
서울특별시,중랑구,의료,여자,85세이상,12,11,1,0,6,3,1,1
서울특별시,중랑구,감경,남자,65세미만,31,28,5,3,15,4,1,0
서울특별시,중랑구,감경,남자,65-69세,20,18,0,1,13,4,0,1
서울특별시,중랑구,감경,남자,70-74세,27,22,4,3,8,7,0,1
서울특별시,중랑구,감경,남자,75-79세,26,25,3,5,9,8,0,1
서울특별시,중랑구,감경,남자,80-84세,15,15,1,2,7,5,0,0
서울특별시,중랑구,감경,남자,85세이상,22,20,2,1,12,5,0,1
서울특별시,중랑구,감경,여자,65세미만,19,18,4,2,6,5,1,0
서울특별시,중랑구,감경,여자,65-69세,19,14,1,5,1,7,0,2
서울특별시,중랑구,감경,여자,70-74세,52,38,4,11,11,11,1,6
서울특별시,중랑구,감경,여자,75-79세,64,58,7,12,16,23,0,4
서울특별시,중랑구,감경,여자,80-84세,92,83,8,25,27,20,3,4
서울특별시,중랑구,감경,여자,85세이상,164,157,13,38,60,36,10,3
서울특별시,성북구,일반,남자,65세미만,97,52,13,13,21,5,0,21
서울특별시,성북구,일반,남자,65-69세,143,90,16,13,31,27,3,22
서울특별시,성북구,일반,남자,70-74세,222,128,9,25,58,33,3,38
서울특별시,성북구,일반,남자,75-79세,298,196,21,31,82,49,13,30
서울특별시,성북구,일반,남자,80-84세,290,205,19,30,83,53,20,25
서울특별시,성북구,일반,남자,85세이상,229,166,20,29,67,41,9,13
서울특별시,성북구,일반,여자,65세미만,80,39,11,1,13,11,3,19
서울특별시,성북구,일반,여자,65-69세,193,91,12,14,36,23,6,37
서울특별시,성북구,일반,여자,70-74세,397,197,32,25,69,61,10,70
서울특별시,성북구,일반,여자,75-79세,665,384,46,60,127,122,29,105
서울특별시,성북구,일반,여자,80-84세,783,548,38,84,226,161,39,71
서울특별시,성북구,일반,여자,85세이상,839,672,72,141,267,158,34,47
서울특별시,성북구,기초,남자,65세미만,67,31,6,4,12,8,1,15
서울특별시,성북구,기초,남자,65-69세,42,16,1,2,6,7,0,11
서울특별시,성북구,기초,남자,70-74세,61,32,2,4,7,19,0,11
서울특별시,성북구,기초,남자,75-79세,50,26,0,4,9,13,0,7
서울특별시,성북구,기초,남자,80-84세,32,22,1,1,7,10,3,5
서울특별시,성북구,기초,남자,85세이상,14,10,0,0,6,3,1,4
서울특별시,성북구,기초,여자,65세미만,24,16,1,6,6,3,0,3
서울특별시,성북구,기초,여자,65-69세,69,21,0,1,8,12,0,23
서울특별시,성북구,기초,여자,70-74세,99,40,1,7,17,15,0,27
서울특별시,성북구,기초,여자,75-79세,154,74,3,10,24,29,8,37
서울특별시,성북구,기초,여자,80-84세,148,87,5,9,36,36,1,25
서울특별시,성북구,기초,여자,85세이상,176,132,9,28,50,39,6,17
서울특별시,성북구,의료,남자,65세미만,0,0,0,0,0,0,0,0
서울특별시,성북구,의료,남자,65-69세,2,0,0,0,0,0,0,0
서울특별시,성북구,의료,남자,70-74세,1,1,0,0,1,0,0,0
서울특별시,성북구,의료,남자,75-79세,1,0,0,0,0,0,0,0
서울특별시,성북구,의료,남자,80-84세,8,4,0,0,2,1,1,1
서울특별시,성북구,의료,남자,85세이상,5,3,1,0,0,1,1,0
서울특별시,성북구,의료,여자,65세미만,0,0,0,0,0,0,0,0
서울특별시,성북구,의료,여자,65-69세,3,1,1,0,0,0,0,0
서울특별시,성북구,의료,여자,70-74세,3,1,0,0,1,0,0,0
서울특별시,성북구,의료,여자,75-79세,6,5,1,1,2,1,0,0
서울특별시,성북구,의료,여자,80-84세,9,5,1,1,2,1,0,2
서울특별시,성북구,의료,여자,85세이상,15,12,1,2,7,2,0,2
서울특별시,성북구,감경,남자,65세미만,21,18,5,1,8,4,0,2
